rank,filter_name,count,filtered_out,expectancy,managed_expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,allowed_displacement_grades=strong,10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,0,0,false,false,strong,,
2,"allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,0,0,false,false,strong,"discount,premium",
3,min_decision_score=50;allowed_displacement_grades=strong,10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,50,0,false,false,strong,,
4,"min_decision_score=50;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,50,0,false,false,strong,"discount,premium",
5,min_decision_score=70;allowed_displacement_grades=strong,10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,70,0,false,false,strong,,
6,"min_decision_score=70;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",10,39,3.738123,3.091686,0.3,0.2,0.1,100.0,3.224273,70,0,false,false,strong,"discount,premium",
7,"allowed_displacement_grades=valid,strong",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,0,0,false,false,"valid,strong",,
8,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,0,0,false,false,"valid,strong","discount,premium",
9,"min_decision_score=50;allowed_displacement_grades=valid,strong",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,50,0,false,false,"valid,strong",,
10,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,50,0,false,false,"valid,strong","discount,premium",
11,"min_decision_score=70;allowed_displacement_grades=valid,strong",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,70,0,false,false,"valid,strong",,
12,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",15,34,2.790499,2.273349,0.2,0.133333,0.133333,99.466667,2.942714,70,0,false,false,"valid,strong","discount,premium",
13,min_target_distance_r=3,14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,0,3,false,false,,,
14,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
15,"min_target_distance_r=3;allowed_htf_locations=discount,premium",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,0,3,false,false,,"discount,premium",
16,"min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,0,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
17,min_decision_score=50;min_target_distance_r=3,14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,50,3,false,false,,,
18,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
19,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,50,3,false,false,,"discount,premium",
20,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,50,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
21,min_decision_score=70;min_target_distance_r=3,14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,70,3,false,false,,,
22,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
23,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,70,3,false,false,,"discount,premium",
24,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",14,35,2.43045,1.844172,0.214286,0.285714,0.285714,100.0,5.889971,70,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
25,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
26,"allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
27,min_target_distance_r=2,16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,,
28,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
29,"min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,"discount,premium",
30,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
31,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
32,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
33,min_decision_score=50;min_target_distance_r=2,16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,,
34,"min_decision_score=50;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
35,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,"discount,premium",
36,"min_decision_score=50;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,50,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
37,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
38,"min_decision_score=70;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
39,min_decision_score=70;min_target_distance_r=2,16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,,
40,"min_decision_score=70;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
41,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,"discount,premium",
42,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",16,33,1.668128,1.212134,0.1875,0.25,0.375,98.875,5.478067,70,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
43,none,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,0,0,false,false,,,
44,"allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,0,0,false,false,,"discount,premium",
45,min_decision_score=50,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,50,0,false,false,,,
46,"min_decision_score=50;allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,50,0,false,false,,"discount,premium",
47,min_decision_score=70,49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,70,0,false,false,,,
48,"min_decision_score=70;allowed_htf_locations=discount,premium",49,0,0.309496,0.307646,0.285714,0.163265,0.387755,94.428571,2.410096,70,0,false,false,,"discount,premium",
49,require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,0,0,true,false,,,
50,"require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,0,0,true,false,,"discount,premium",
51,min_decision_score=50;require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,50,0,true,false,,,
52,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,50,0,true,false,,"discount,premium",
53,min_decision_score=70;require_smt=true,12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,70,0,true,false,,,
54,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium",12,37,0.257629,0.257701,0.5,0.166667,0.166667,99.5,1.460017,70,0,true,false,,"discount,premium",
