phase,scope,group,filter_name,threshold,dedupe_session,dedupe_selection,trade_count,min_trades,sample_valid,win_rate_pct,expectancy_r,profit_factor,max_drawdown_r,total_pnl_r,avg_decision_score,avg_target_distance_r,avg_risk_bps,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r
overall,ALL,ALL,model_rules,0,True,first,92,30,True,79.347826,0.389537,2.572923,3.175337,35.837435,57.282609,2.831475,64.226553,0.182752,0.00121,0.183962
train,ALL,ALL,model_rules,0,True,first,30,30,True,73.333333,0.260057,1.813771,3.175337,7.801703,54.666667,1.991578,59.427425,0.188707,0.003711,0.192418
train,by_timeframe,15m,model_rules,0,True,first,12,30,False,75.0,0.309395,2.046853,1.61114,3.71274,52.5,1.549934,60.158305,0.18897,0.001635,0.190605
train,by_timeframe,30m,model_rules,0,True,first,18,30,False,72.222222,0.227165,1.676922,2.007057,4.088963,56.111111,2.286008,58.940172,0.188532,0.005095,0.193628
train,by_symbol,BTCUSDT,model_rules,0,True,first,15,30,False,66.666667,0.100616,1.249134,3.175337,1.509233,54.0,1.812806,54.580673,0.200746,0.003589,0.204335
train,by_symbol,ETHUSDT,model_rules,0,True,first,15,30,False,80.0,0.419498,2.782983,1.202921,6.29247,55.333333,2.170351,64.274178,0.176669,0.003833,0.180502
train,by_direction,long,model_rules,0,True,first,15,30,False,66.666667,0.165809,1.421131,3.504268,2.487132,52.666667,1.501579,70.030896,0.160102,0.007422,0.167525
train,by_direction,short,model_rules,0,True,first,15,30,False,80.0,0.354305,2.443682,1.2737,5.314571,56.666667,2.481577,48.823954,0.217312,0.0,0.217312
train,by_session_label,custom,model_rules,0,True,first,7,30,False,71.428571,0.225183,1.650124,2.424588,1.576282,57.142857,2.618822,52.718744,0.203388,0.0,0.203388
train,by_session_label,london_open,model_rules,0,True,first,3,30,False,100.0,0.782372,inf,0.0,2.347117,63.333333,3.62408,47.18117,0.217628,0.0,0.217628
train,by_session_label,ny_open,model_rules,0,True,first,20,30,False,70.0,0.193915,1.541473,3.077009,3.878304,52.5,1.527168,63.612402,0.179231,0.005567,0.184798
train,by_score_bucket,high,model_rules,0,True,first,4,30,False,75.0,0.280808,1.893814,1.256673,1.123232,70.0,5.180597,46.515593,0.219192,0.0,0.219192
train,by_score_bucket,medium,model_rules,0,True,first,26,30,False,73.076923,0.256864,1.801697,3.618197,6.678471,52.307692,1.50096,61.413861,0.184017,0.004282,0.188299
train,by_no_trade_reasons,none,model_rules,0,True,first,4,30,False,75.0,0.280808,1.893814,1.256673,1.123232,70.0,5.180597,46.515593,0.219192,0.0,0.219192
train,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,20,30,False,70.0,0.196175,1.550473,3.618197,3.923498,50.0,1.231658,63.444522,0.179846,0.002692,0.182538
train,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,6,30,False,83.333333,0.459162,3.290236,1.202921,2.754973,60.0,2.398635,54.644991,0.197921,0.009584,0.207505
validation,ALL,ALL,model_rules,0,True,first,32,30,True,84.375,0.511899,3.704463,1.272268,16.380755,61.25,3.457441,72.129933,0.175601,0.0,0.175601
validation,by_timeframe,15m,model_rules,0,True,first,12,30,False,83.333333,0.495232,3.577279,1.230055,5.942789,60.833333,3.635867,68.675306,0.171434,0.0,0.171434
validation,by_timeframe,30m,model_rules,0,True,first,20,30,False,85.0,0.521898,3.782644,1.272268,10.437966,61.5,3.350386,74.202709,0.178102,0.0,0.178102
validation,by_symbol,BTCUSDT,model_rules,0,True,first,18,30,False,83.333333,0.497443,3.521074,1.245815,8.953979,59.444444,3.401689,76.319112,0.169223,0.0,0.169223
validation,by_symbol,ETHUSDT,model_rules,0,True,first,14,30,False,85.714286,0.530484,3.964447,1.272268,7.426776,63.571429,3.529122,66.743845,0.183802,0.0,0.183802
validation,by_direction,long,model_rules,0,True,first,20,30,False,80.0,0.428032,2.774623,1.272268,8.56064,61.5,3.691286,73.448338,0.171968,0.0,0.171968
validation,by_direction,short,model_rules,0,True,first,12,30,False,91.666667,0.651676,7.342276,1.233014,7.820115,60.833333,3.0677,69.932592,0.181657,0.0,0.181657
validation,by_session_label,custom,model_rules,0,True,first,9,30,False,77.777778,0.367875,2.434026,1.233014,3.310876,62.222222,2.43345,75.864666,0.18768,0.0,0.18768
validation,by_session_label,london_open,model_rules,0,True,first,9,30,False,77.777778,0.380359,2.382639,1.245815,3.423235,67.777778,5.754328,76.941634,0.175196,0.0,0.175196
validation,by_session_label,ny_open,model_rules,0,True,first,14,30,False,92.857143,0.689046,8.582242,1.272268,9.646644,56.428571,2.639151,66.635796,0.168097,0.0,0.168097
validation,by_score_bucket,high,model_rules,0,True,first,16,30,False,75.0,0.311224,1.999685,1.272268,4.979583,70.0,5.46125,67.468457,0.188776,0.0,0.188776
validation,by_score_bucket,medium,model_rules,0,True,first,16,30,False,93.75,0.712573,11.598022,1.075783,11.401172,52.5,1.453633,76.791409,0.162427,0.0,0.162427
validation,by_no_trade_reasons,none,model_rules,0,True,first,16,30,False,75.0,0.311224,1.999685,1.272268,4.979583,70.0,5.46125,67.468457,0.188776,0.0,0.188776
validation,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,12,30,False,91.666667,0.685571,8.647315,1.075783,8.226851,50.0,1.174996,83.190048,0.147762,0.0,0.147762
validation,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,4,30,False,100.0,0.79358,inf,0.0,3.174321,60.0,2.289542,57.595491,0.20642,0.0,0.20642
test,ALL,ALL,model_rules,0,True,first,33,30,True,81.818182,0.431856,2.995988,2.37565,14.25125,56.363636,2.988037,61.962874,0.179891,0.0,0.179891
test,by_timeframe,15m,model_rules,0,True,first,11,30,False,72.727273,0.246524,1.741978,2.438533,2.711765,57.272727,2.366723,53.867945,0.208021,0.0,0.208021
test,by_timeframe,30m,model_rules,0,True,first,22,30,False,86.363636,0.524522,4.311025,1.428727,11.539485,55.909091,3.298693,66.010338,0.165826,0.0,0.165826
test,by_symbol,BTCUSDT,model_rules,0,True,first,13,30,False,84.615385,0.440002,3.370674,1.25342,5.720025,54.615385,1.745155,60.32507,0.189818,0.0,0.189818
test,by_symbol,ETHUSDT,model_rules,0,True,first,20,30,False,80.0,0.426561,2.80474,1.473316,8.531225,57.5,3.79591,63.027446,0.173439,0.0,0.173439
test,by_direction,long,model_rules,0,True,first,13,30,False,76.923077,0.301749,2.102304,2.373553,3.922733,56.923077,3.251581,64.709424,0.174225,0.0,0.174225
test,by_direction,short,model_rules,0,True,first,20,30,False,85.0,0.516426,3.884029,1.25342,10.328517,56.0,2.816733,60.177616,0.183574,0.0,0.183574
test,by_session_label,custom,model_rules,0,True,first,8,30,False,87.5,0.490645,4.312055,1.185113,3.92516,55.0,3.840094,74.440462,0.157812,0.0,0.157812
test,by_session_label,london_open,model_rules,0,True,first,8,30,False,75.0,0.28556,1.961624,2.37565,2.284483,63.75,4.612511,50.318145,0.21444,0.0,0.21444
test,by_session_label,ny_open,model_rules,0,True,first,17,30,False,82.352941,0.473036,3.246771,1.25342,8.041607,53.529412,1.82261,61.57094,0.174023,0.0,0.174023
test,by_score_bucket,high,model_rules,0,True,first,9,30,False,77.777778,0.354205,2.34307,1.6122,3.187848,70.0,7.22573,53.807256,0.20135,0.0,0.20135
test,by_score_bucket,medium,model_rules,0,True,first,24,30,False,83.333333,0.460975,3.321126,1.25342,11.063402,51.25,1.398901,65.021231,0.171844,0.0,0.171844
test,by_no_trade_reasons,none,model_rules,0,True,first,9,30,False,77.777778,0.354205,2.34307,1.6122,3.187848,70.0,7.22573,53.807256,0.20135,0.0,0.20135
test,by_no_trade_reasons,target_rr_below_2,model_rules,0,True,first,21,30,False,85.714286,0.510525,4.051835,1.185113,10.721016,50.0,1.255608,67.208306,0.165078,0.0,0.165078
test,by_no_trade_reasons,target_rr_below_3,model_rules,0,True,first,3,30,False,66.666667,0.114129,1.273161,1.25342,0.342386,60.0,2.401955,49.711705,0.219205,0.0,0.219205
